ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-18-3406-01	480.42	1327.02	1807.44
TCGA-18-3407-01	196.27	291.63	487.9
TCGA-18-3408-01	-58.99	524.56	465.57
TCGA-18-3409-01	1351.68	736.86	2088.54
TCGA-18-3410-01	-356.13	1326.71	970.58
TCGA-18-3411-01	-120.61	682.31	561.7
TCGA-18-3412-01	-681.5	159.19	-522.31
TCGA-18-3414-01	-459.08	376.17	-82.91
TCGA-18-3415-01	60.99	806.03	867.02
TCGA-18-3416-01	-585.83	1631.99	1046.16
TCGA-18-3417-01	701.27	417.59	1118.86
TCGA-18-3419-01	-962.85	727.04	-235.81
TCGA-18-3421-01	-605.54	708.08	102.54
TCGA-18-4083-01	-56.98	69.94	12.95
TCGA-18-4086-01	118.36	587.74	706.1
TCGA-18-4721-01	468.99	1274.86	1743.85
TCGA-18-5592-01	-869.18	-239.84	-1109.02
TCGA-18-5595-01	-1201.89	-865.91	-2067.81
TCGA-21-1070-01	-108.23	1575.84	1467.61
TCGA-21-1071-01	-95.36	321.14	225.78
TCGA-21-1072-01	-625.76	-449.31	-1075.08
TCGA-21-1075-01	-1347.27	-1075.44	-2422.71
TCGA-21-1076-01	1137.14	2233.77	3370.91
TCGA-21-1077-01	-280.01	388.63	108.62
TCGA-21-1078-01	-1782.79	-749.42	-2532.21
TCGA-21-1079-01	277.55	74.77	352.32
TCGA-21-1080-01	-916.3	179.28	-737.03
TCGA-21-1081-01	-124.86	-478.57	-603.43
TCGA-21-1082-01	-39.85	734.31	694.46
TCGA-21-1083-01	-221.08	610.91	389.83
TCGA-21-5782-01	-39.49	126.87	87.38
TCGA-21-5783-01	-235.04	-590.44	-825.48
TCGA-21-5784-01	-101.32	1120.51	1019.19
TCGA-21-5786-01	-353.81	-117.97	-471.78
TCGA-21-5787-01	10.02	1544.64	1554.66
TCGA-21-A5DI-01	-906.37	-426.13	-1332.5
TCGA-22-0940-01	182.55	1647.35	1829.91
TCGA-22-0944-01	-1157.06	-480.48	-1637.54
TCGA-22-1000-01	1478.49	1908.01	3386.5
TCGA-22-1002-01	424.72	807.73	1232.44
TCGA-22-1005-01	727.59	2466.57	3194.16
TCGA-22-1011-01	49.59	1388.79	1438.38
TCGA-22-1012-01	-618.73	263.89	-354.84
TCGA-22-1016-01	702.58	1194.96	1897.54
TCGA-22-1017-01	-735	694.66	-40.33
TCGA-22-4591-01	-1172.99	-305.47	-1478.46
TCGA-22-4593-01	380.75	-342.52	38.24
TCGA-22-4594-01	416.76	1356.24	1773.01
TCGA-22-4595-01	342.27	836.38	1178.65
TCGA-22-4596-01	1217.57	2378.09	3595.66
TCGA-22-4599-01	0.75	1598.79	1599.54
TCGA-22-4601-01	-815.3	-227.57	-1042.87
TCGA-22-4604-01	998.61	1230.68	2229.29
TCGA-22-4605-01	514.48	847.86	1362.34
TCGA-22-4607-01	-109.53	450.67	341.13
TCGA-22-4609-01	651.12	1560.81	2211.93
TCGA-22-4613-01	-432.62	974.47	541.85
TCGA-22-5471-01	-383.48	1119.17	735.69
TCGA-22-5472-01	-364.56	583.24	218.69
TCGA-22-5473-01	-496.35	-103.42	-599.76
