index	pvalue	qvalue
 1 	 3.1e-05 	 5e-05 
 2 	 3.7e-05 	 1e-04 
 3 	 4e-05 	 0.00015 
 4 	 8.4e-05 	 2e-04 
 5 	 0.000137 	 0.00025 
 6 	 0.000154 	 3e-04 
 7 	 0.00016 	 0.00035 
 8 	 0.000209 	 4e-04 
 9 	 0.00032 	 0.00045 
 10 	 0.000332 	 5e-04 
 11 	 0.000348 	 0.00055 
 12 	 0.00035 	 6e-04 
 13 	 0.000383 	 0.00065 
 14 	 0.000446 	 7e-04 
 15 	 0.000447 	 0.00075 
 16 	 0.000502 	 8e-04 
 17 	 0.00051 	 0.00085 
 18 	 0.000558 	 9e-04 
 19 	 0.000608 	 0.00095 
 20 	 0.00068 	 0.001 
 21 	 0.000733 	 0.00105 
 22 	 0.000891 	 0.0011 
 23 	 0.000921 	 0.00115 
 24 	 0.000955 	 0.0012 
 25 	 0.000961 	 0.00125 
 26 	 0.001186 	 0.0013 
 27 	 0.001201 	 0.00135 
 28 	 0.001228 	 0.0014 
 29 	 0.00125 	 0.00145 
 30 	 0.001284 	 0.0015 
 31 	 0.001287 	 0.00155 
 32 	 0.001339 	 0.0016 
 33 	 0.001366 	 0.00165 
 34 	 0.001412 	 0.0017 
 35 	 0.001434 	 0.00175 
 36 	 0.001456 	 0.0018 
 37 	 0.001536 	 0.00185 
 38 	 0.001601 	 0.0019 
 39 	 0.001855 	 0.00195 
 40 	 0.001877 	 0.002 
 41 	 0.002061 	 0.00205 
 42 	 0.002118 	 0.0021 
 43 	 0.00229 	 0.00215 
 44 	 0.002457 	 0.0022 
 45 	 0.003338 	 0.00225 
 46 	 0.003707 	 0.0023 
 47 	 0.004534 	 0.00235 
 48 	 0.005286 	 0.0024 
 49 	 0.006074 	 0.00245 
 50 	 0.006182 	 0.0025 
 51 	 0.006629 	 0.00255 
 52 	 0.007603 	 0.0026 
 53 	 0.008734 	 0.00265 
 54 	 0.011066 	 0.0027 
 55 	 0.011215 	 0.00275 
 56 	 0.015524 	 0.0028 
 57 	 0.016583 	 0.00285 
 58 	 0.016708 	 0.0029 
 59 	 0.017681 	 0.00295 
 60 	 0.02013 	 0.003 
 61 	 0.023596 	 0.00305 
 62 	 0.023791 	 0.0031 
 63 	 0.023955 	 0.00315 
 64 	 0.024549 	 0.0032 
 65 	 0.026838 	 0.00325 
 66 	 0.027772 	 0.0033 
 67 	 0.0292 	 0.00335 
 68 	 0.030167 	 0.0034 
 69 	 0.030383 	 0.00345 
 70 	 0.030763 	 0.0035 
 71 	 0.031368 	 0.00355 
 72 	 0.033607 	 0.0036 
 73 	 0.034505 	 0.00365 
 74 	 0.034892 	 0.0037 
 75 	 0.035085 	 0.00375 
 76 	 0.035527 	 0.0038 
 77 	 0.03653 	 0.00385 
 78 	 0.038141 	 0.0039 
 79 	 0.038855 	 0.00395 
 80 	 0.038923 	 0.004 
 81 	 0.039158 	 0.00405 
 82 	 0.040273 	 0.0041 
 83 	 0.041564 	 0.00415 
 84 	 0.04298 	 0.0042 
 85 	 0.044193 	 0.00425 
 86 	 0.045657 	 0.0043 
 87 	 0.045908 	 0.00435 
 88 	 0.046393 	 0.0044 
 89 	 0.046485 	 0.00445 
 90 	 0.048317 	 0.0045 
 91 	 0.049081 	 0.00455 
 92 	 0.049437 	 0.0046 
 93 	 0.050841 	 0.00465 
 94 	 0.051485 	 0.0047 
 95 	 0.051871 	 0.00475 
 96 	 0.052832 	 0.0048 
 97 	 0.0537 	 0.00485 
 98 	 0.053768 	 0.0049 
 99 	 0.054117 	 0.00495 
 100 	 0.054437 	 0.005 
 101 	 0.055511 	 0.00505 
 102 	 0.055982 	 0.0051 
 103 	 0.057927 	 0.00515 
 104 	 0.05808 	 0.0052 
 105 	 0.05914 	 0.00525 
 106 	 0.05915 	 0.0053 
 107 	 0.059416 	 0.00535 
 108 	 0.059495 	 0.0054 
 109 	 0.061191 	 0.00545 
 110 	 0.061641 	 0.0055 
 111 	 0.061668 	 0.00555 
 112 	 0.063128 	 0.0056 
 113 	 0.064382 	 0.00565 
 114 	 0.064724 	 0.0057 
 115 	 0.06519 	 0.00575 
 116 	 0.065303 	 0.0058 
 117 	 0.065349 	 0.00585 
 118 	 0.066567 	 0.0059 
 119 	 0.066736 	 0.00595 
 120 	 0.067065 	 0.006 
 121 	 0.067384 	 0.00605 
 122 	 0.067539 	 0.0061 
 123 	 0.069137 	 0.00615 
 124 	 0.0697 	 0.0062 
 125 	 0.071495 	 0.00625 
 126 	 0.074244 	 0.0063 
 127 	 0.076417 	 0.00635 
 128 	 0.077756 	 0.0064 
 129 	 0.078313 	 0.00645 
 130 	 0.080147 	 0.0065 
 131 	 0.081217 	 0.00655 
 132 	 0.081941 	 0.0066 
 133 	 0.08448 	 0.00665 
 134 	 0.088826 	 0.0067 
 135 	 0.091351 	 0.00675 
 136 	 0.091622 	 0.0068 
 137 	 0.093785 	 0.00685 
 138 	 0.095697 	 0.0069 
 139 	 0.099628 	 0.00695 
 140 	 0.101398 	 0.007 
 141 	 0.101479 	 0.00705 
 142 	 0.102232 	 0.0071 
 143 	 0.102755 	 0.00715 
 144 	 0.103059 	 0.0072 
 145 	 0.106149 	 0.00725 
 146 	 0.106535 	 0.0073 
 147 	 0.106565 	 0.00735 
 148 	 0.106779 	 0.0074 
 149 	 0.107323 	 0.00745 
 150 	 0.107379 	 0.0075 
 151 	 0.107399 	 0.00755 
 152 	 0.108745 	 0.0076 
 153 	 0.109697 	 0.00765 
 154 	 0.110814 	 0.0077 
 155 	 0.110951 	 0.00775 
 156 	 0.111361 	 0.0078 
 157 	 0.111615 	 0.00785 
 158 	 0.111839 	 0.0079 
 159 	 0.112037 	 0.00795 
 160 	 0.112581 	 0.008 
 161 	 0.113406 	 0.00805 
 162 	 0.113796 	 0.0081 
 163 	 0.114137 	 0.00815 
 164 	 0.114254 	 0.0082 
 165 	 0.118398 	 0.00825 
 166 	 0.119053 	 0.0083 
 167 	 0.120423 	 0.00835 
 168 	 0.121261 	 0.0084 
 169 	 0.121485 	 0.00845 
 170 	 0.121603 	 0.0085 
 171 	 0.123929 	 0.00855 
 172 	 0.127545 	 0.0086 
 173 	 0.128746 	 0.00865 
 174 	 0.131331 	 0.0087 
 175 	 0.137905 	 0.00875 
 176 	 0.139443 	 0.0088 
 177 	 0.139855 	 0.00885 
 178 	 0.13991 	 0.0089 
 179 	 0.140334 	 0.00895 
 180 	 0.142189 	 0.009 
 181 	 0.144248 	 0.00905 
 182 	 0.144344 	 0.0091 
 183 	 0.144428 	 0.00915 
 184 	 0.146593 	 0.0092 
 185 	 0.148209 	 0.00925 
 186 	 0.148927 	 0.0093 
